Height,Velocity,Power
396080.604713586,-253.710942083996,0.161458333333333
396016.759136903,-255.382306731141,0.161458333333333
395952.495708794,-257.053712437338,0.161458333333333
395887.814418926,-258.72515947248,0.161458333333333
395822.715256899,-260.396648106491,0.161458333333333
395757.198212247,-262.068178609324,0.161458333333333
395691.263274434,-263.739751250962,0.161458333333333
395624.910432859,-265.411366301419,0.161458333333333
395558.139676851,-267.083024030738,0.161458333333333
395490.950995674,-268.754724708994,0.161458333333333
395423.344378522,-270.426468606292,0.161458333333333
395355.319814524,-272.098255992769,0.161458333333333
395286.877292739,-273.770087138591,0.161458333333333
395218.016802161,-275.441962313959,0.161458333333333
395148.738331713,-277.113881789102,0.161458333333333
395079.041870255,-278.785845834284,0.161458333333333
395008.927406575,-280.457854719797,0.161458333333333
